"REG","Region","LOCATION","Country","INC","Income group","VAR","Variables","TIME","Time","Value","Flag Codes","Flags"
"EAP","East Asia and the Pacific","HKG","Hong Kong, China","HIN","High income: nonOECD","RP_1_5","Laws on sexual harassment","2014","2014",0.5,,
"MENA","Middle East and North Africa","KWT","Kuwait","HIN","High income: nonOECD","RP_1_1","Attitudes towards violence","2014","2014",0.39,,
"MENA","Middle East and North Africa","KWT","Kuwait","HIN","High income: nonOECD","RP_1_3","Laws on domestic violence","2014","2014",1,,
"MENA","Middle East and North Africa","KWT","Kuwait","HIN","High income: nonOECD","RP_1_4","Laws on rape","2014","2014",0.75,,
"MENA","Middle East and North Africa","KWT","Kuwait","HIN","High income: nonOECD","RP_1_5","Laws on sexual harassment","2014","2014",1,,
"ECA","Europe and Central Asia","LVA","Latvia","HIN","High income: nonOECD","RP_1_2","Prevalence of violence in the lifetime","2014","2014",0.32,,
"ECA","Europe and Central Asia","LVA","Latvia","HIN","High income: nonOECD","RP_1_3","Laws on domestic violence","2014","2014",0.5,,
"ECA","Europe and Central Asia","LVA","Latvia","HIN","High income: nonOECD","RP_1_4","Laws on rape","2014","2014",0.5,,
"ECA","Europe and Central Asia","LVA","Latvia","HIN","High income: nonOECD","RP_1_5","Laws on sexual harassment","2014","2014",0.5,,
"ECA","Europe and Central Asia","LTU","Lithuania","HIN","High income: nonOECD","RP_1_2","Prevalence of violence in the lifetime","2014","2014",0.24,,
"ECA","Europe and Central Asia","LTU","Lithuania","HIN","High income: nonOECD","RP_1_3","Laws on domestic violence","2014","2014",0.25,,
"ECA","Europe and Central Asia","LTU","Lithuania","HIN","High income: nonOECD","RP_1_4","Laws on rape","2014","2014",0.5,,
"ECA","Europe and Central Asia","LTU","Lithuania","HIN","High income: nonOECD","RP_1_5","Laws on sexual harassment","2014","2014",0.5,,
"MENA","Middle East and North Africa","OMN","Oman","HIN","High income: nonOECD","RP_1_3","Laws on domestic violence","2014","2014",1,,
"MENA","Middle East and North Africa","OMN","Oman","HIN","High income: nonOECD","RP_1_4","Laws on rape","2014","2014",0.75,,
"MENA","Middle East and North Africa","OMN","Oman","HIN","High income: nonOECD","RP_1_5","Laws on sexual harassment","2014","2014",1,,
"MENA","Middle East and North Africa","QAT","Qatar","HIN","High income: nonOECD","RP_1_1","Attitudes towards violence","2014","2014",0.2,,
"MENA","Middle East and North Africa","QAT","Qatar","HIN","High income: nonOECD","RP_1_3","Laws on domestic violence","2014","2014",1,,
"MENA","Middle East and North Africa","QAT","Qatar","HIN","High income: nonOECD","RP_1_4","Laws on rape","2014","2014",0.75,,
"MENA","Middle East and North Africa","QAT","Qatar","HIN","High income: nonOECD","RP_1_5","Laws on sexual harassment","2014","2014",0,,
"ECA","Europe and Central Asia","RUS","Russia","HIN","High income: nonOECD","RP_1_1","Attitudes towards violence","2014","2014",0.25,,
"ECA","Europe and Central Asia","RUS","Russia","HIN","High income: nonOECD","RP_1_2","Prevalence of violence in the lifetime","2014","2014",0.21,,
"ECA","Europe and Central Asia","RUS","Russia","HIN","High income: nonOECD","RP_1_3","Laws on domestic violence","2014","2014",0.75,,
"ECA","Europe and Central Asia","RUS","Russia","HIN","High income: nonOECD","RP_1_4","Laws on rape","2014","2014",0.75,,
"ECA","Europe and Central Asia","RUS","Russia","HIN","High income: nonOECD","RP_1_5","Laws on sexual harassment","2014","2014",0.75,,
"MENA","Middle East and North Africa","SAU","Saudi Arabia","HIN","High income: nonOECD","RP_1_3","Laws on domestic violence","2014","2014",0.5,,
"MENA","Middle East and North Africa","SAU","Saudi Arabia","HIN","High income: nonOECD","RP_1_4","Laws on rape","2014","2014",1,,
"MENA","Middle East and North Africa","SAU","Saudi Arabia","HIN","High income: nonOECD","RP_1_5","Laws on sexual harassment","2014","2014",1,,
"EAP","East Asia and the Pacific","SGP","Singapore","HIN","High income: nonOECD","RP_1_1","Attitudes towards violence","2014","2014",0.41,,
"EAP","East Asia and the Pacific","SGP","Singapore","HIN","High income: nonOECD","RP_1_3","Laws on domestic violence","2014","2014",0.5,,
"EAP","East Asia and the Pacific","SGP","Singapore","HIN","High income: nonOECD","RP_1_4","Laws on rape","2014","2014",0.25,,
"EAP","East Asia and the Pacific","SGP","Singapore","HIN","High income: nonOECD","RP_1_5","Laws on sexual harassment","2014","2014",0.5,,
"LAC","Latin America and the Caribbean","TTO","Trinidad and Tobago","HIN","High income: nonOECD","RP_1_1","Attitudes towards violence","2014","2014",0.1,,
"LAC","Latin America and the Caribbean","TTO","Trinidad and Tobago","HIN","High income: nonOECD","RP_1_3","Laws on domestic violence","2014","2014",0,,
"LAC","Latin America and the Caribbean","TTO","Trinidad and Tobago","HIN","High income: nonOECD","RP_1_4","Laws on rape","2014","2014",0,,
"LAC","Latin America and the Caribbean","TTO","Trinidad and Tobago","HIN","High income: nonOECD","RP_1_5","Laws on sexual harassment","2014","2014",1,,
"MENA","Middle East and North Africa","ARE","United Arab Emirates","HIN","High income: nonOECD","RP_1_3","Laws on domestic violence","2014","2014",1,,
"MENA","Middle East and North Africa","ARE","United Arab Emirates","HIN","High income: nonOECD","RP_1_4","Laws on rape","2014","2014",0.75,,
"MENA","Middle East and North Africa","ARE","United Arab Emirates","HIN","High income: nonOECD","RP_1_5","Laws on sexual harassment","2014","2014",0.5,,
"LAC","Latin America and the Caribbean","URY","Uruguay","HIN","High income: nonOECD","RP_1_1","Attitudes towards violence","2014","2014",0.09,,
"LAC","Latin America and the Caribbean","URY","Uruguay","HIN","High income: nonOECD","RP_1_3","Laws on domestic violence","2014","2014",0.5,,
"LAC","Latin America and the Caribbean","URY","Uruguay","HIN","High income: nonOECD","RP_1_4","Laws on rape","2014","2014",0.5,,
"LAC","Latin America and the Caribbean","URY","Uruguay","HIN","High income: nonOECD","RP_1_5","Laws on sexual harassment","2014","2014",0.25,,
"EAP","East Asia and the Pacific","AUS","Australia","HIO","High income: OECD","RP_1_1","Attitudes towards violence","2014","2014",0.04,,
"EAP","East Asia and the Pacific","AUS","Australia","HIO","High income: OECD","RP_1_2","Prevalence of violence in the lifetime","2014","2014",0.25,,
"EAP","East Asia and the Pacific","AUS","Australia","HIO","High income: OECD","RP_1_3","Laws on domestic violence","2014","2014",0.25,,
"EAP","East Asia and the Pacific","AUS","Australia","HIO","High income: OECD","RP_1_4","Laws on rape","2014","2014",0,,
"EAP","East Asia and the Pacific","AUS","Australia","HIO","High income: OECD","RP_1_5","Laws on sexual harassment","2014","2014",0.5,,
"ECA","Europe and Central Asia","AUT","Austria","HIO","High income: OECD","RP_1_2","Prevalence of violence in the lifetime","2014","2014",0.13,,
"ECA","Europe and Central Asia","AUT","Austria","HIO","High income: OECD","RP_1_3","Laws on domestic violence","2014","2014",0,,
"ECA","Europe and Central Asia","AUT","Austria","HIO","High income: OECD","RP_1_4","Laws on rape","2014","2014",0,,
"ECA","Europe and Central Asia","AUT","Austria","HIO","High income: OECD","RP_1_5","Laws on sexual harassment","2014","2014",0,,
"ECA","Europe and Central Asia","BEL","Belgium","HIO","High income: OECD","RP_1_2","Prevalence of violence in the lifetime","2014","2014",0.24,,
"ECA","Europe and Central Asia","BEL","Belgium","HIO","High income: OECD","RP_1_3","Laws on domestic violence","2014","2014",0,,
"ECA","Europe and Central Asia","BEL","Belgium","HIO","High income: OECD","RP_1_4","Laws on rape","2014","2014",0,,
"ECA","Europe and Central Asia","BEL","Belgium","HIO","High income: OECD","RP_1_5","Laws on sexual harassment","2014","2014",0,,
"NA","North America","CAN","Canada","HIO","High income: OECD","RP_1_1","Attitudes towards violence","2014","2014",0.06,,
"NA","North America","CAN","Canada","HIO","High income: OECD","RP_1_2","Prevalence of violence in the lifetime","2014","2014",0.06,,
"NA","North America","CAN","Canada","HIO","High income: OECD","RP_1_3","Laws on domestic violence","2014","2014",0,,
"NA","North America","CAN","Canada","HIO","High income: OECD","RP_1_4","Laws on rape","2014","2014",0,,
"NA","North America","CAN","Canada","HIO","High income: OECD","RP_1_5","Laws on sexual harassment","2014","2014",0,,
"ECA","Europe and Central Asia","CZE","Czech Republic","HIO","High income: OECD","RP_1_2","Prevalence of violence in the lifetime","2014","2014",0.21,,
"ECA","Europe and Central Asia","CZE","Czech Republic","HIO","High income: OECD","RP_1_3","Laws on domestic violence","2014","2014",0,,
"ECA","Europe and Central Asia","CZE","Czech Republic","HIO","High income: OECD","RP_1_4","Laws on rape","2014","2014",0.75,,
"ECA","Europe and Central Asia","CZE","Czech Republic","HIO","High income: OECD","RP_1_5","Laws on sexual harassment","2014","2014",0.25,,
"ECA","Europe and Central Asia","DNK","Denmark","HIO","High income: OECD","RP_1_2","Prevalence of violence in the lifetime","2014","2014",0.32,,
"ECA","Europe and Central Asia","DNK","Denmark","HIO","High income: OECD","RP_1_3","Laws on domestic violence","2014","2014",0,,
"ECA","Europe and Central Asia","DNK","Denmark","HIO","High income: OECD","RP_1_4","Laws on rape","2014","2014",0.25,,
"ECA","Europe and Central Asia","DNK","Denmark","HIO","High income: OECD","RP_1_5","Laws on sexual harassment","2014","2014",0,,
"ECA","Europe and Central Asia","FIN","Finland","HIO","High income: OECD","RP_1_1","Attitudes towards violence","2014","2014",0.11,,
"ECA","Europe and Central Asia","FIN","Finland","HIO","High income: OECD","RP_1_2","Prevalence of violence in the lifetime","2014","2014",0.3,,
"ECA","Europe and Central Asia","FIN","Finland","HIO","High income: OECD","RP_1_3","Laws on domestic violence","2014","2014",0.25,,
"ECA","Europe and Central Asia","FIN","Finland","HIO","High income: OECD","RP_1_4","Laws on rape","2014","2014",0,,
"ECA","Europe and Central Asia","FIN","Finland","HIO","High income: OECD","RP_1_5","Laws on sexual harassment","2014","2014",0,,
"ECA","Europe and Central Asia","FRA","France","HIO","High income: OECD","RP_1_1","Attitudes towards violence","2014","2014",0.07,,
"ECA","Europe and Central Asia","FRA","France","HIO","High income: OECD","RP_1_2","Prevalence of violence in the lifetime","2014","2014",0.26,,
"ECA","Europe and Central Asia","FRA","France","HIO","High income: OECD","RP_1_3","Laws on domestic violence","2014","2014",0,,
"ECA","Europe and Central Asia","FRA","France","HIO","High income: OECD","RP_1_4","Laws on rape","2014","2014",0,,
"ECA","Europe and Central Asia","FRA","France","HIO","High income: OECD","RP_1_5","Laws on sexual harassment","2014","2014",0,,
"ECA","Europe and Central Asia","DEU","Germany","HIO","High income: OECD","RP_1_1","Attitudes towards violence","2014","2014",0.2,,
"ECA","Europe and Central Asia","DEU","Germany","HIO","High income: OECD","RP_1_2","Prevalence of violence in the lifetime","2014","2014",0.22,,
"ECA","Europe and Central Asia","DEU","Germany","HIO","High income: OECD","RP_1_3","Laws on domestic violence","2014","2014",0.5,,
"ECA","Europe and Central Asia","DEU","Germany","HIO","High income: OECD","RP_1_4","Laws on rape","2014","2014",0,,
"ECA","Europe and Central Asia","DEU","Germany","HIO","High income: OECD","RP_1_5","Laws on sexual harassment","2014","2014",0.25,,
"ECA","Europe and Central Asia","GRC","Greece","HIO","High income: OECD","RP_1_2","Prevalence of violence in the lifetime","2014","2014",0.19,,
"ECA","Europe and Central Asia","GRC","Greece","HIO","High income: OECD","RP_1_3","Laws on domestic violence","2014","2014",0.25,,
"ECA","Europe and Central Asia","GRC","Greece","HIO","High income: OECD","RP_1_4","Laws on rape","2014","2014",0,,
"ECA","Europe and Central Asia","GRC","Greece","HIO","High income: OECD","RP_1_5","Laws on sexual harassment","2014","2014",0,,
"ECA","Europe and Central Asia","ISL","Iceland","HIO","High income: OECD","RP_1_2","Prevalence of violence in the lifetime","2014","2014",0.22,,
"ECA","Europe and Central Asia","ISL","Iceland","HIO","High income: OECD","RP_1_3","Laws on domestic violence","2014","2014",0.5,,
"ECA","Europe and Central Asia","ISL","Iceland","HIO","High income: OECD","RP_1_4","Laws on rape","2014","2014",0.25,,
"ECA","Europe and Central Asia","ISL","Iceland","HIO","High income: OECD","RP_1_5","Laws on sexual harassment","2014","2014",0,,
"ECA","Europe and Central Asia","IRL","Ireland","HIO","High income: OECD","RP_1_2","Prevalence of violence in the lifetime","2014","2014",0.15,,
"ECA","Europe and Central Asia","IRL","Ireland","HIO","High income: OECD","RP_1_3","Laws on domestic violence","2014","2014",0,,
"ECA","Europe and Central Asia","IRL","Ireland","HIO","High income: OECD","RP_1_4","Laws on rape","2014","2014",0,,
"ECA","Europe and Central Asia","IRL","Ireland","HIO","High income: OECD","RP_1_5","Laws on sexual harassment","2014","2014",0,,
"ECA","Europe and Central Asia","ITA","Italy","HIO","High income: OECD","RP_1_1","Attitudes towards violence","2014","2014",0.07,,
"ECA","Europe and Central Asia","ITA","Italy","HIO","High income: OECD","RP_1_2","Prevalence of violence in the lifetime","2014","2014",0.19,,
"ECA","Europe and Central Asia","ITA","Italy","HIO","High income: OECD","RP_1_3","Laws on domestic violence","2014","2014",0.25,,
"ECA","Europe and Central Asia","ITA","Italy","HIO","High income: OECD","RP_1_4","Laws on rape","2014","2014",0,,
"ECA","Europe and Central Asia","ITA","Italy","HIO","High income: OECD","RP_1_5","Laws on sexual harassment","2014","2014",0.5,,
"EAP","East Asia and the Pacific","JPN","Japan","HIO","High income: OECD","RP_1_1","Attitudes towards violence","2014","2014",0.14,,
"EAP","East Asia and the Pacific","JPN","Japan","HIO","High income: OECD","RP_1_2","Prevalence of violence in the lifetime","2014","2014",0.15,,
"EAP","East Asia and the Pacific","JPN","Japan","HIO","High income: OECD","RP_1_3","Laws on domestic violence","2014","2014",0.25,,
"EAP","East Asia and the Pacific","JPN","Japan","HIO","High income: OECD","RP_1_4","Laws on rape","2014","2014",0.5,,
"EAP","East Asia and the Pacific","JPN","Japan","HIO","High income: OECD","RP_1_5","Laws on sexual harassment","2014","2014",0.5,,
"EAP","East Asia and the Pacific","KOR","Korea","HIO","High income: OECD","RP_1_1","Attitudes towards violence","2014","2014",0.19,,
"EAP","East Asia and the Pacific","KOR","Korea","HIO","High income: OECD","RP_1_3","Laws on domestic violence","2014","2014",0,,
"EAP","East Asia and the Pacific","KOR","Korea","HIO","High income: OECD","RP_1_4","Laws on rape","2014","2014",0.5,,
"EAP","East Asia and the Pacific","KOR","Korea","HIO","High income: OECD","RP_1_5","Laws on sexual harassment","2014","2014",0,,
"ECA","Europe and Central Asia","LUX","Luxembourg","HIO","High income: OECD","RP_1_2","Prevalence of violence in the lifetime","2014","2014",0.22,,
"ECA","Europe and Central Asia","LUX","Luxembourg","HIO","High income: OECD","RP_1_3","Laws on domestic violence","2014","2014",0,,
"ECA","Europe and Central Asia","LUX","Luxembourg","HIO","High income: OECD","RP_1_4","Laws on rape","2014","2014",0,,
"ECA","Europe and Central Asia","LUX","Luxembourg","HIO","High income: OECD","RP_1_5","Laws on sexual harassment","2014","2014",0,,
"ECA","Europe and Central Asia","NLD","Netherlands","HIO","High income: OECD","RP_1_1","Attitudes towards violence","2014","2014",0.09,,
"ECA","Europe and Central Asia","NLD","Netherlands","HIO","High income: OECD","RP_1_2","Prevalence of violence in the lifetime","2014","2014",0.25,,
"ECA","Europe and Central Asia","NLD","Netherlands","HIO","High income: OECD","RP_1_3","Laws on domestic violence","2014","2014",0.5,,
"ECA","Europe and Central Asia","NLD","Netherlands","HIO","High income: OECD","RP_1_4","Laws on rape","2014","2014",0.25,,
"ECA","Europe and Central Asia","NLD","Netherlands","HIO","High income: OECD","RP_1_5","Laws on sexual harassment","2014","2014",0,,
"EAP","East Asia and the Pacific","NZL","New Zealand","HIO","High income: OECD","RP_1_1","Attitudes towards violence","2014","2014",0.09,,
"EAP","East Asia and the Pacific","NZL","New Zealand","HIO","High income: OECD","RP_1_2","Prevalence of violence in the lifetime","2014","2014",0.33,,
"EAP","East Asia and the Pacific","NZL","New Zealand","HIO","High income: OECD","RP_1_3","Laws on domestic violence","2014","2014",0.25,,
"EAP","East Asia and the Pacific","NZL","New Zealand","HIO","High income: OECD","RP_1_4","Laws on rape","2014","2014",0,,
"EAP","East Asia and the Pacific","NZL","New Zealand","HIO","High income: OECD","RP_1_5","Laws on sexual harassment","2014","2014",0,,
"ECA","Europe and Central Asia","NOR","Norway","HIO","High income: OECD","RP_1_1","Attitudes towards violence","2014","2014",0.11,,
"ECA","Europe and Central Asia","NOR","Norway","HIO","High income: OECD","RP_1_2","Prevalence of violence in the lifetime","2014","2014",0.27,,
"ECA","Europe and Central Asia","NOR","Norway","HIO","High income: OECD","RP_1_3","Laws on domestic violence","2014","2014",0,,
"ECA","Europe and Central Asia","NOR","Norway","HIO","High income: OECD","RP_1_4","Laws on rape","2014","2014",0.5,,
"ECA","Europe and Central Asia","NOR","Norway","HIO","High income: OECD","RP_1_5","Laws on sexual harassment","2014","2014",0.25,,
"ECA","Europe and Central Asia","POL","Poland","HIO","High income: OECD","RP_1_1","Attitudes towards violence","2014","2014",0.1,,
"ECA","Europe and Central Asia","POL","Poland","HIO","High income: OECD","RP_1_2","Prevalence of violence in the lifetime","2014","2014",0.13,,
"ECA","Europe and Central Asia","POL","Poland","HIO","High income: OECD","RP_1_3","Laws on domestic violence","2014","2014",0.25,,
"ECA","Europe and Central Asia","POL","Poland","HIO","High income: OECD","RP_1_4","Laws on rape","2014","2014",0,,
"ECA","Europe and Central Asia","POL","Poland","HIO","High income: OECD","RP_1_5","Laws on sexual harassment","2014","2014",0.25,,
"ECA","Europe and Central Asia","PRT","Portugal","HIO","High income: OECD","RP_1_2","Prevalence of violence in the lifetime","2014","2014",0.19,,
"ECA","Europe and Central Asia","PRT","Portugal","HIO","High income: OECD","RP_1_3","Laws on domestic violence","2014","2014",0,,
"ECA","Europe and Central Asia","PRT","Portugal","HIO","High income: OECD","RP_1_4","Laws on rape","2014","2014",0.25,,
"ECA","Europe and Central Asia","PRT","Portugal","HIO","High income: OECD","RP_1_5","Laws on sexual harassment","2014","2014",0,,
"ECA","Europe and Central Asia","SVK","Slovak Republic","HIO","High income: OECD","RP_1_2","Prevalence of violence in the lifetime","2014","2014",0.23,,
"ECA","Europe and Central Asia","SVK","Slovak Republic","HIO","High income: OECD","RP_1_3","Laws on domestic violence","2014","2014",0.25,,
"ECA","Europe and Central Asia","SVK","Slovak Republic","HIO","High income: OECD","RP_1_4","Laws on rape","2014","2014",0,,
"ECA","Europe and Central Asia","SVK","Slovak Republic","HIO","High income: OECD","RP_1_5","Laws on sexual harassment","2014","2014",0.5,,
"ECA","Europe and Central Asia","ESP","Spain","HIO","High income: OECD","RP_1_1","Attitudes towards violence","2014","2014",0.1,,
"ECA","Europe and Central Asia","ESP","Spain","HIO","High income: OECD","RP_1_2","Prevalence of violence in the lifetime","2014","2014",0.13,,
"ECA","Europe and Central Asia","ESP","Spain","HIO","High income: OECD","RP_1_3","Laws on domestic violence","2014","2014",0.25,,
"ECA","Europe and Central Asia","ESP","Spain","HIO","High income: OECD","RP_1_4","Laws on rape","2014","2014",0,,
"ECA","Europe and Central Asia","ESP","Spain","HIO","High income: OECD","RP_1_5","Laws on sexual harassment","2014","2014",0,,
"ECA","Europe and Central Asia","SWE","Sweden","HIO","High income: OECD","RP_1_1","Attitudes towards violence","2014","2014",0.12,,
"ECA","Europe and Central Asia","SWE","Sweden","HIO","High income: OECD","RP_1_2","Prevalence of violence in the lifetime","2014","2014",0.28,,
"ECA","Europe and Central Asia","SWE","Sweden","HIO","High income: OECD","RP_1_3","Laws on domestic violence","2014","2014",0,,
"ECA","Europe and Central Asia","SWE","Sweden","HIO","High income: OECD","RP_1_4","Laws on rape","2014","2014",0,,
"ECA","Europe and Central Asia","SWE","Sweden","HIO","High income: OECD","RP_1_5","Laws on sexual harassment","2014","2014",0.25,,
"ECA","Europe and Central Asia","CHE","Switzerland","HIO","High income: OECD","RP_1_1","Attitudes towards violence","2014","2014",0.16,,
"ECA","Europe and Central Asia","CHE","Switzerland","HIO","High income: OECD","RP_1_2","Prevalence of violence in the lifetime","2014","2014",0.1,,
"ECA","Europe and Central Asia","CHE","Switzerland","HIO","High income: OECD","RP_1_3","Laws on domestic violence","2014","2014",0.5,,
"ECA","Europe and Central Asia","CHE","Switzerland","HIO","High income: OECD","RP_1_4","Laws on rape","2014","2014",0,,
"ECA","Europe and Central Asia","CHE","Switzerland","HIO","High income: OECD","RP_1_5","Laws on sexual harassment","2014","2014",0,,
"ECA","Europe and Central Asia","GBR","United Kingdom","HIO","High income: OECD","RP_1_1","Attitudes towards violence","2014","2014",0.12,,
"ECA","Europe and Central Asia","GBR","United Kingdom","HIO","High income: OECD","RP_1_2","Prevalence of violence in the lifetime","2014","2014",0.29,,
"ECA","Europe and Central Asia","GBR","United Kingdom","HIO","High income: OECD","RP_1_3","Laws on domestic violence","2014","2014",0.25,,
"ECA","Europe and Central Asia","GBR","United Kingdom","HIO","High income: OECD","RP_1_4","Laws on rape","2014","2014",0,,
"ECA","Europe and Central Asia","GBR","United Kingdom","HIO","High income: OECD","RP_1_5","Laws on sexual harassment","2014","2014",0,,
"NA","North America","USA","United States","HIO","High income: OECD","RP_1_1","Attitudes towards violence","2014","2014",0.13,,
"NA","North America","USA","United States","HIO","High income: OECD","RP_1_2","Prevalence of violence in the lifetime","2014","2014",0.36,,
"NA","North America","USA","United States","HIO","High income: OECD","RP_1_3","Laws on domestic violence","2014","2014",0,,
"NA","North America","USA","United States","HIO","High income: OECD","RP_1_4","Laws on rape","2014","2014",0,,
"NA","North America","USA","United States","HIO","High income: OECD","RP_1_5","Laws on sexual harassment","2014","2014",0,,
"LAC","Latin America and the Caribbean","CHL","Chile","HIO","High income: OECD","RP_1_1","Attitudes towards violence","2014","2014",0.12,,
"LAC","Latin America and the Caribbean","CHL","Chile","HIO","High income: OECD","RP_1_2","Prevalence of violence in the lifetime","2014","2014",0.36,,
"LAC","Latin America and the Caribbean","CHL","Chile","HIO","High income: OECD","RP_1_3","Laws on domestic violence","2014","2014",0,,
"LAC","Latin America and the Caribbean","CHL","Chile","HIO","High income: OECD","RP_1_4","Laws on rape","2014","2014",0,,
"LAC","Latin America and the Caribbean","CHL","Chile","HIO","High income: OECD","RP_1_5","Laws on sexual harassment","2014","2014",0,,
"ECA","Europe and Central Asia","EST","Estonia","HIO","High income: OECD","RP_1_1","Attitudes towards violence","2014","2014",0.18,,
"ECA","Europe and Central Asia","EST","Estonia","HIO","High income: OECD","RP_1_2","Prevalence of violence in the lifetime","2014","2014",0.2,,
"ECA","Europe and Central Asia","EST","Estonia","HIO","High income: OECD","RP_1_3","Laws on domestic violence","2014","2014",0,,
"ECA","Europe and Central Asia","EST","Estonia","HIO","High income: OECD","RP_1_4","Laws on rape","2014","2014",0,,
"ECA","Europe and Central Asia","EST","Estonia","HIO","High income: OECD","RP_1_5","Laws on sexual harassment","2014","2014",0.5,,
"MENA","Middle East and North Africa","ISR","Israel","HIO","High income: OECD","RP_1_3","Laws on domestic violence","2014","2014",0.25,,
"MENA","Middle East and North Africa","ISR","Israel","HIO","High income: OECD","RP_1_4","Laws on rape","2014","2014",0,,
"MENA","Middle East and North Africa","ISR","Israel","HIO","High income: OECD","RP_1_5","Laws on sexual harassment","2014","2014",0,,
"ECA","Europe and Central Asia","SVN","Slovenia","HIO","High income: OECD","RP_1_1","Attitudes towards violence","2014","2014",0.17,,
"ECA","Europe and Central Asia","SVN","Slovenia","HIO","High income: OECD","RP_1_2","Prevalence of violence in the lifetime","2014","2014",0.13,,
"ECA","Europe and Central Asia","SVN","Slovenia","HIO","High income: OECD","RP_1_3","Laws on domestic violence","2014","2014",0,,
"ECA","Europe and Central Asia","SVN","Slovenia","HIO","High income: OECD","RP_1_4","Laws on rape","2014","2014",0.5,,
"ECA","Europe and Central Asia","SVN","Slovenia","HIO","High income: OECD","RP_1_5","Laws on sexual harassment","2014","2014",0.25,,
"SA","South Asia","AFG","Afghanistan","LIN","Low income","RP_1_1","Attitudes towards violence","2014","2014",0.9,,
"SA","South Asia","AFG","Afghanistan","LIN","Low income","RP_1_3","Laws on domestic violence","2014","2014",0.5,,
"SA","South Asia","AFG","Afghanistan","LIN","Low income","RP_1_4","Laws on rape","2014","2014",0.5,,
"SA","South Asia","AFG","Afghanistan","LIN","Low income","RP_1_5","Laws on sexual harassment","2014","2014",1,,
"SSA","Sub-Saharan Africa","AGO","Angola","LIN","Low income","RP_1_2","Prevalence of violence in the lifetime","2014","2014",0.78,,
"SSA","Sub-Saharan Africa","AGO","Angola","LIN","Low income","RP_1_3","Laws on domestic violence","2014","2014",0,,
"SSA","Sub-Saharan Africa","AGO","Angola","LIN","Low income","RP_1_4","Laws on rape","2014","2014",0.25,,
"SSA","Sub-Saharan Africa","AGO","Angola","LIN","Low income","RP_1_5","Laws on sexual harassment","2014","2014",1,,
"SA","South Asia","BGD","Bangladesh","LIN","Low income","RP_1_1","Attitudes towards violence","2014","2014",0.33,,
"SA","South Asia","BGD","Bangladesh","LIN","Low income","RP_1_2","Prevalence of violence in the lifetime","2014","2014",0.53,,
"SA","South Asia","BGD","Bangladesh","LIN","Low income","RP_1_3","Laws on domestic violence","2014","2014",0.25,,
"SA","South Asia","BGD","Bangladesh","LIN","Low income","RP_1_4","Laws on rape","2014","2014",0.75,,
